N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8908,0,0.09206956494062624,0.10228967999999873,0.4142,0.1854,0.09949257142856867,0.07059167346938754,0.2782444128083207,2.582925838752889
150000,5000,2936,0,0.06501766081893989,0.09445079999999798,0.4252,0.2526,0.0960650612244869,0.06977224489795839,0.043915662085647685,0.868962981687553
150000,5000,9476,0,0.23084030314385895,0.10129879999999869,0.3812,0.1281,0.09726114285714041,0.029343346938776268,0.5234617915641334,0.09524141523572567
150000,5000,3877,0,0.07480944945128465,0.10073407999999845,0.4259,0.2115,0.09877412244897678,0.07464865306122508,0.1422366839281772,2.1273964709082205
150000,5000,7530,0,0.1364880601260553,0.11081063999999799,0.4236,0.1852,0.10781959183673234,0.06056987755102068,0.513442620203273,1.7022291239565581
150000,5000,8660,0,0.18366270699204434,0.09058687999999841,0.3939,0.1027,0.09268497959183405,0.032265224489795824,0.19774572657274117,1.4889032871424885
150000,5000,6395,0,0.12658442298510597,0.10240719999999831,0.42,0.1207,0.10168824489795658,0.05709975510204111,0.3096122937981609,4.093105363862392
150000,5000,9055,0,0.27096480743823104,0.10327615999999826,0.419,0.1031,0.10039428571428291,0.01808571428571391,0.2684028733496903,-0.7833861408820373
150000,5000,7850,0,0.10002582620682765,0.10053431999999823,0.4145,0.1846,0.09991616326530357,0.0645859591836743,0.29216613404248015,2.0764321384801048
150000,5000,9701,0,0.31416645045953207,0.0911947999999986,0.378,0.1036,0.0910061224489775,0.004178857142857073,0.28729670584527034,-2.9956708581543494
150000,5000,4465,0,0.18809233649505042,0.10101551999999783,0.4239,0.1961,0.09881053061224263,0.03925159183673494,0.16160827046616777,-0.3787479106017614
150000,5000,6560,0,0.07269097446224648,0.0966572799999982,0.3979,0.1909,0.09555836734693599,0.07155624489795842,0.27745684910444046,2.4860122661676423
150000,5000,10815,0,0.09936600088324399,0.10153815999999925,0.3644,0.1782,0.09499004081632485,0.0713762448979602,0.6142172858699001,2.907216323312409
150000,5000,8607,0,0.15123171344505248,0.0966105599999985,0.3767,0.1502,0.09434791836734505,0.0481081632653062,0.44654651238751536,1.5907716120204614
150000,5000,7523,0,0.17482742661531658,0.10044743999999896,0.3847,0.1599,0.09728848979591603,0.04381559183673539,0.4865299593476053,0.8322918516913154
150000,5000,9046,0,0.2601050793732794,0.0973279199999983,0.3967,0.0789,0.09460938775509992,0.019686530612245085,0.2501137733607234,0.42962472636132926
150000,5000,7474,0,0.1217631805138778,0.10023327999999865,0.3931,0.1519,0.10029248979591626,0.056654285714285484,0.5232716378390547,2.454358893774396
150000,5000,10861,0,0.23161877145090293,0.09408559999999883,0.3663,0.0885,0.09314522448979393,0.024250857142857525,0.5093618982209206,0.8309830181951876
150000,5000,9515,0,0.15394242556315607,0.10302127999999837,0.3935,0.1047,0.09842881632652835,0.05263926530612348,0.4412728415365669,4.5777154665269375
150000,5000,4521,0,0.07314310994928952,0.10242063999999844,0.423,0.195,0.10166938775509902,0.07524881632653134,0.28069454657710935,2.6674146732504393
150000,5000,11467,0,0.2357487058269735,0.10067551999999876,0.3975,0.1357,0.0991783673469364,0.025347591836733737,0.4309115847274307,-0.5975903257033389
150000,5000,10207,0,0.13092387926111704,0.10097831999999876,0.3911,0.1121,0.09830269387754907,0.05689404081632722,0.4611731559814648,4.656722207385461
150000,5000,9147,0,0.13599781901663455,0.09793791999999858,0.3528,0.1565,0.09348024489795748,0.05549640816326477,0.6846360046789646,2.153490135444985
150000,5000,8332,0,0.13888538931473893,0.09945335999999849,0.39,0.1166,0.09507248979591575,0.05532146938775484,0.3368543838399237,4.115387315971808
150000,5000,6129,0,0.19372146883181252,0.10340303999999853,0.4092,0.1526,0.09788702040816064,0.041796571428572384,0.2620139431339157,0.8302046949297769
150000,5000,7566,0,0.16333553661490186,0.10004151999999836,0.4071,0.1558,0.0969262857142832,0.046972326530613305,0.24352999517004414,1.2826366172935888
150000,5000,7672,0,0.12154478611156927,0.10089031999999898,0.3923,0.15,0.0961929795918343,0.061852653061224644,0.3602793924613695,3.0998459468541495
150000,5000,9280,0,0.2180743350084693,0.09803527999999921,0.3967,0.1088,0.09655330612244713,0.02931142857142901,0.33054971463849697,0.755961493539749
150000,5000,11280,0,0.3179310355858599,0.09887615999999846,0.3919,0.0205,0.0973223673469366,0.005020408163265304,0.4116911739571955,0.35010389233510486
150000,5000,8269,0,0.15030255170437223,0.09683127999999853,0.3897,0.1008,0.09425591836734501,0.04879738775510108,0.305539864735554,4.271572958439996
150000,5000,3854,0,0.08184279557746954,0.09694495999999861,0.4103,0.2271,0.09562897959183418,0.06892489795918347,0.16114775249459926,1.3164255433871765
150000,5000,4595,0,0.10354019095510658,0.10096599999999827,0.4258,0.1785,0.09870799999999694,0.06533126530612242,0.1405815761996275,2.340844301372315
150000,5000,10838,0,0.1764436072982103,0.09578999999999815,0.3965,0.0964,0.09519991836734436,0.038913551020408305,0.2765357729383075,2.953983421136643
150000,5000,8542,0,0.2895035202483507,0.10172543999999874,0.407,0.0897,0.10103869387754849,0.0110595918367346,0.41035150419945415,-1.6362542045306152
150000,5000,11386,0,0.3606757042999392,0.10277999999999814,0.3895,0.0005,0.09649861224489557,8.538775510204082e-05,0.4020910564718922,-0.5696476713269071
150000,5000,9785,0,0.33962533360886915,0.11067447999999756,0.416,0.0383,0.10244718367346659,0.0066678367346938985,0.37777318854703723,-0.8008698114678084
150000,5000,9567,0,0.21179440819089002,0.1032575999999993,0.3981,0.1183,0.09963314285714038,0.034693632653061475,0.44349111292966636,1.147078555593058
150000,5000,4835,0,0.12595243138925172,0.1017444799999985,0.4236,0.2032,0.09817706122448705,0.05978612244898005,0.1397695556001426,1.16404146189815
